area,part_of,ts,cases,fatalities,recovered,tested,hospitalized,ventilated,male_cases,female_cases
ME,,2020-03-17,2,0,0,,2,,0,2
ME,,2020-03-18,8,0,0,,3,,5,3
ME,,2020-03-19,13,0,0,,3,,7,6
ME,,2020-03-20,14,0,0,,3,,7,7
ME,,2020-03-21,16,0,0,,4,,8,8
ME,,2020-03-22,22,1,0,,6,,13,9
ME,,2020-03-23,29,1,0,,6,,17,12
ME,,2020-03-24,51,1,0,,6,,27,24
ME,,2020-03-25,66,1,0,,6,,36,30
ME,,2020-03-26,70,1,0,,6,,36,34
ME,,2020-03-27,82,1,0,,15,,41,41
ME,,2020-03-28,85,1,0,,15,,42,43
ME,,2020-03-29,91,2,0,,14,,44,47
ME,,2020-03-30,105,2,0,,14,,53,52
ME,,2020-03-31,120,2,0,,14,,62,58
ME,,2020-04-01,140,2,0,,30,,70,70
ME,,2020-04-02,160,2,0,,38,,79,81
ME,,2020-04-03,197,2,1,,38,,103,94
ME,,2020-04-04,203,2,1,,37,,107,96
ME,,2020-04-05,223,2,1,,37,,119,104
ME,,2020-04-06,239,2,1,,42,,130,109
ME,,2020-04-07,248,2,1,,42,,136,112
ME,,2020-04-08,252,2,3,,42,,138,114
ME,,2020-04-09,255,2,3,,42,,140,115
ME,,2020-04-10,262,2,5,,42,,143,119
ME,,2020-04-11,267,2,5,,42,,146,121
ME,,2020-04-12,273,3,5,,41,,150,123
ME,,2020-04-13,278,4,9,,41,,153,125
ME,,2020-04-14,288,4,46,,34,,159,129
ME,,2020-04-15,290,4,55,,31,,160,130
ME,,2020-04-16,303,4,55,,31,,168,135
ME,,2020-04-17,305,5,55,,34,,169,136
ME,,2020-04-18,308,5,55,,38,,171,137
ME,,2020-04-19,311,5,55,,38,,173,138
ME,,2020-04-20,313,5,90,,35,,174,139
ME,,2020-04-21,314,5,101,,34,,174,140
ME,,2020-04-22,316,5,116,,29,,175,141
ME,,2020-04-23,319,5,123,,24,,177,142
ME,,2020-04-24,319,6,123,,21,,177,142
ME,,2020-04-25,321,6,153,,20,,179,142
ME,,2020-04-26,321,7,153,,20,,179,142
ME,,2020-04-27,321,7,189,,13,,179,142
ME,,2020-04-28,321,7,199,,13,,179,142
ME,,2020-04-29,322,7,203,,10,,180,142
ME,,2020-04-30,322,7,214,,7,,180,142
ME,,2020-05-01,322,7,240,,7,,180,142
ME,,2020-05-02,322,8,245,,6,,180,142
ME,,2020-05-03,323,8,249,,5,,180,143
ME,,2020-05-04,324,8,253,,2,,181,143
ME,,2020-05-05,324,8,253,,1,,181,143
ME,,2020-05-06,324,8,265,,0,,181,143
ME,,2020-05-07,324,8,265,,0,,181,143
ME,,2020-05-08,324,8,267,,0,,181,143
ME,,2020-05-09,324,9,274,,0,,181,143
ME,,2020-05-10,324,9,290,,0,,181,143
ME,,2020-05-11,324,9,298,,0,,181,143
ME,,2020-05-12,324,9,298,,0,,181,143
ME,,2020-05-13,324,9,307,,0,,181,143
ME,,2020-05-14,324,9,309,,0,,181,143
ME,,2020-05-15,324,9,311,,0,,181,143
ME,,2020-05-16,324,9,311,,0,,181,143
ME,,2020-05-17,324,9,311,,0,,181,143
ME,,2020-05-18,324,9,311,,0,,181,143
ME,,2020-05-19,324,9,312,,0,,181,143
ME,,2020-05-20,324,9,314,,0,,181,143
ME,,2020-05-21,324,9,314,,0,,181,143
ME,,2020-05-22,324,9,314,,0,,181,143
ME,,2020-05-23,324,9,314,,0,,181,143
ME,,2020-05-24,324,9,315,,0,,181,143
ME,,2020-05-25,324,9,315,,0,,181,143
ME,,2020-05-26,324,9,315,,0,,181,143
ME,,2020-05-27,324,9,315,,0,,181,143
ME,,2020-05-28,324,9,315,,0,,181,143
ME,,2020-05-29,324,9,315,,0,,181,143
ME,,2020-05-30,324,9,315,,0,,181,143
ME,,2020-05-31,324,9,315,,0,,181,143
ME,,2020-06-01,324,9,315,,0,,181,143
ME,,2020-06-02,324,9,315,,0,,181,143
ME,,2020-06-03,324,9,315,,0,,181,143
ME,,2020-06-04,324,9,315,,0,,181,143
ME,,2020-06-05,324,9,315,,0,,181,143
ME,,2020-06-06,324,9,315,,0,,181,143
ME,,2020-06-07,324,9,315,,0,,181,143
ME,,2020-06-08,324,9,315,,0,,181,143
ME,,2020-06-09,324,9,315,,0,,181,143
ME,,2020-06-10,324,9,315,,0,,181,143
